task_id,task_name,description,start_date,end_date,priority,status,progress_percentage,estimated_hours,actual_hours,is_critical_path,category_name,parent_task_id,creator_id,created_date,completed_date
24,Implementation: IP5. UI Improvement Recommendations,Quick wins for immediate navigation fixes.,2026-04-25,2026-05-02,Medium,Not Started,0,6,0,false,Delivery,,,2025-12-14T10:00:00Z,
25,Launch & Measure: Launch Plan & Roll-out,"Feature-flagged rollout, staging demo, and go-live.",2026-05-03,2026-05-10,Critical,Not Started,0,12,0,true,Delivery,,,2025-12-14T10:00:00Z,
26,Launch & Measure: Monitoring & Iteration,"Track KPIs, post-launch bug triage, and iterate based on data.",2026-05-10,2026-06-14,High,Not Started,0,20,0,false,Delivery,,,2025-12-14T10:00:00Z,
27,PM: Create GitHub Project Board & Labels,"Create a GitHub Project board, `roadmap` and `phase:X` labels, and seed initial issues for P1,P2,P3. Expected output: project board URL, 3 seeded issues, label list.",2025-12-14,2025-12-15,Critical,Not Started,0,3,0,true,Discovery,,,2025-12-14T10:00:00Z,
28,PM: Create Issues from Task Template,Create GitHub issues for top-level tasks (IA1..IP5) with acceptance criteria and owners. Expected output: issue list linked to project board.,2025-12-15,2025-12-16,High,Not Started,0,4,0,true,Discovery,27,,2025-12-14T10:00:00Z,
29,UX: Draft Forum Survey Message,"Create a ready-to-post survey message and Google Form export using `pm-qa-roadmap.md`. Expected output: survey text, form link, pilot plan.",2025-12-15,2025-12-17,High,Not Started,0,4,0,true,Exploration,11,,2025-12-14T10:00:00Z,
30,UX: Publish Survey & Recruit Pilot Users,"Post survey to forum, recruit 10–20 pilot participants, and collect responses. Expected output: survey responses CSV and metadata.",2025-12-18,2026-01-02,High,Not Started,0,8,0,true,Exploration,11,,2025-12-14T10:00:00Z,
31,UX: Analyze Survey Responses,"Synthesize pilot results into top insights, quotes, and prioritized unknowns. Expected output: short analysis doc and tags mapped to IA deliverables.",2026-01-03,2026-01-09,High,Not Started,0,8,0,true,Exploration,11,,2025-12-14T10:00:00Z,
32,Design: Export Design Assets & Specs,"Produce final Figma frames, component specs, and developer-ready assets. Expected output: Figma file link, annotated specs, tokens.",2026-02-07,2026-02-21,High,Not Started,0,16,0,true,Delivery,18,,2025-12-14T10:00:00Z,
33,Design: Accessibility & A11y Review,"Run accessibility checklist, color contrast, keyboard navigation, and ARIA roles. Expected output: A11y checklist with fixes.",2026-02-21,2026-02-25,High,Not Started,0,6,0,false,Delivery,32,,2025-12-14T10:00:00Z,
34,Frontend: Component Scaffold & Feature Flag,Create a feature-flagged scaffold for the Roadmap component (styling + routing + placeholder data). Expected output: branch with scaffold and feature flag.,2026-03-01,2026-03-07,High,Not Started,0,8,0,true,Delivery,21,,2025-12-14T10:00:00Z,
35,Frontend: Implement UI Interactions & Unit Tests,"Implement core interactions, state management, and unit tests for components. Expected output: passing unit tests and component PR.",2026-03-08,2026-03-21,Critical,Not Started,0,24,0,true,Delivery,21,,2025-12-14T10:00:00Z,
36,Frontend: Integration & E2E Tests (Playwright),"Add Playwright scenarios for roadmap flow (view, start path, view gap). Expected output: passing E2E tests in CI.",2026-03-22,2026-03-31,High,Not Started,0,12,0,true,Delivery,21,,2025-12-14T10:00:00Z,
37,Backend: Data Model & Seed Scripts,"Design schema for course metadata and skill tags, write seed scripts for staging. Expected output: schema docs and seed data script.",2026-03-01,2026-03-14,High,Not Started,0,16,0,true,Delivery,19,,2025-12-14T10:00:00Z,
38,Backend: Implement API Endpoints & Unit Tests,Implement read endpoints for roadmap data and write unit tests. Expected output: documented endpoints and passing tests.,2026-03-15,2026-04-04,Critical,Not Started,0,24,0,true,Delivery,22,,2025-12-14T10:00:00Z,
39,Backend: Analytics Events & Dashboard,"Define event payloads, send events to analytics, and create a simple KPI dashboard. Expected output: event schema and dashboard link.",2026-04-04,2026-04-18,High,Not Started,0,12,0,false,Delivery,23,,2025-12-14T10:00:00Z,
40,QA: Staging Deployment & Smoke Tests,"Deploy branch to staging, run smoke tests and script-based usability checks. Expected output: staging URL and test results.",2026-04-19,2026-04-25,Critical,Not Started,0,8,0,true,Delivery,,,2025-12-14T10:00:00Z,
41,Docs: Runbook & Release Notes,"Write deployment runbook, rollback plan and release notes for the feature. Expected output: runbook doc and release notes.",2026-04-20,2026-04-30,High,Not Started,0,6,0,false,Delivery,,,2025-12-14T10:00:00Z,
42,Launch: Canary Rollout,"Perform a controlled canary rollout to a subset of users, monitor for errors and KPI movement. Expected output: rollout notes and KPI snapshot.",2026-05-03,2026-05-07,High,Not Started,0,8,0,true,Delivery,25,,2025-12-14T10:00:00Z,
43,PM: Post-Launch Metrics Review & Backlog,"Review KPIs after rollout, create prioritized iteration backlog and assign owners. Expected output: metrics report and backlog of improvements.",2026-05-08,2026-06-14,High,Not Started,0,20,0,false,Delivery,26,,2025-12-14T10:00:00Z,
44,example new task,example test,2025-12-15,2025-12-15,Low,Not Started,0,8,0,false,Discovery,,system@example.com,2025-12-15T19:56:57.243Z,
